21:23:39: Edge Data
21:23:39: ---------
21:23:39: Triangle 0 = {indexSet=0, vertexSet=0, v0=18, v1=1, v2=17}
21:23:39: Triangle 1 = {indexSet=0, vertexSet=0, v0=19, v1=2, v2=18}
21:23:39: Triangle 2 = {indexSet=0, vertexSet=0, v0=20, v1=3, v2=19}
21:23:39: Triangle 3 = {indexSet=0, vertexSet=0, v0=21, v1=4, v2=20}
21:23:39: Triangle 4 = {indexSet=0, vertexSet=0, v0=22, v1=5, v2=21}
21:23:39: Triangle 5 = {indexSet=0, vertexSet=0, v0=23, v1=6, v2=22}
21:23:39: Triangle 6 = {indexSet=0, vertexSet=0, v0=24, v1=7, v2=23}
21:23:39: Triangle 7 = {indexSet=0, vertexSet=0, v0=25, v1=8, v2=24}
21:23:39: Triangle 8 = {indexSet=0, vertexSet=0, v0=26, v1=9, v2=25}
21:23:39: Triangle 9 = {indexSet=0, vertexSet=0, v0=27, v1=10, v2=26}
21:23:39: Triangle 10 = {indexSet=0, vertexSet=0, v0=28, v1=11, v2=27}
21:23:39: Triangle 11 = {indexSet=0, vertexSet=0, v0=29, v1=12, v2=28}
21:23:39: Triangle 12 = {indexSet=0, vertexSet=0, v0=30, v1=13, v2=29}
21:23:39: Triangle 13 = {indexSet=0, vertexSet=0, v0=31, v1=14, v2=30}
21:23:39: Triangle 14 = {indexSet=0, vertexSet=0, v0=32, v1=15, v2=31}
21:23:39: Triangle 15 = {indexSet=0, vertexSet=0, v0=33, v1=16, v2=32}
21:23:39: Triangle 16 = {indexSet=0, vertexSet=0, v0=33, v1=17, v2=16}
21:23:39: Triangle 17 = {indexSet=0, vertexSet=0, v0=34, v1=17, v2=33}
21:23:39: Triangle 18 = {indexSet=0, vertexSet=0, v0=34, v1=18, v2=17}
21:23:39: Triangle 19 = {indexSet=0, vertexSet=0, v0=35, v1=18, v2=34}
21:23:39: Triangle 20 = {indexSet=0, vertexSet=0, v0=35, v1=19, v2=18}
